NAME,TEAM,GP,MIN,PTS,AST,OREB,DREB,REB,STL,BLK,TOV,PF,+/-,DD2,TD3,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT%
Rayjon Tucker,DEN,3,9.8,2.0,1.3,0.3,1.0,1.3,0.3,0.0,0.0,1.0,1.0,0,0,0.3,0.7,0.5,0.3,0.7,0.5,1.0,1.3,0.75
Reggie Bullock,DAL,66,28.0,8.7,1.2,0.5,3.1,3.6,0.6,0.2,0.6,1.6,3.4,0,0,3.0,7.4,0.406,2.1,5.8,0.363,0.6,0.7,0.83
Reggie Jackson,LAC,74,31.3,17.0,4.8,0.5,3.1,3.6,0.7,0.2,2.3,2.1,-1.1,5,0,6.4,16.4,0.392,2.2,6.9,0.327,1.9,2.2,0.847
Reggie Perry,POR,7,16.6,6.9,0.9,1.3,3.6,4.9,0.6,0.3,0.9,2.9,-3.3,1,0,2.9,6.4,0.444,0.3,1.4,0.2,0.9,1.4,0.6
Richaun Holmes,SAC,45,23.9,10.4,1.1,2.1,5.0,7.0,0.4,0.9,1.2,2.8,-3.0,8,0,4.4,6.7,0.66,0.0,0.1,0.4,1.6,2.0,0.778
Ricky Rubio,IND,34,28.5,13.1,6.6,0.4,3.7,4.1,1.4,0.2,2.6,2.2,5.4,5,0,4.4,12.1,0.363,1.7,5.1,0.339,2.6,3.0,0.854
Rob Edwards,OKC,2,5.4,1.5,0.0,0.0,1.5,1.5,0.0,0.0,0.5,0.0,-7.0,0,0,0.5,2.0,0.25,0.5,2.0,0.25,0.0,0.0,0.0
Robert Covington,LAC,69,27.6,8.5,1.3,0.8,4.7,5.5,1.5,1.3,1.1,2.7,0.1,1,0,3.0,7.0,0.42,1.8,4.8,0.376,0.8,1.0,0.833
Robert Williams III,BOS,61,29.6,10.0,2.0,3.9,5.7,9.6,0.9,2.2,1.0,2.2,6.1,25,1,4.4,6.0,0.736,0.0,0.0,0.0,1.1,1.5,0.722
Robert Woodard II,SAS,12,3.5,0.6,0.3,0.4,0.5,0.9,0.1,0.1,0.1,0.3,1.3,0,0,0.2,1.3,0.125,0.1,0.3,0.25,0.2,0.2,1.0
Robin Lopez,ORL,35,17.2,7.1,1.5,1.9,1.6,3.5,0.1,0.5,1.3,1.9,-2.3,3,0,3.1,5.6,0.553,0.1,0.1,0.4,0.9,1.5,0.577
Rodney Hood,LAC,50,13.7,3.1,0.7,0.3,1.2,1.5,0.3,0.1,0.2,0.6,-0.4,0,0,1.1,3.1,0.361,0.6,1.8,0.315,0.3,0.3,0.882
Rodney McGruder,DET,49,14.4,4.9,0.9,0.6,1.5,2.1,0.4,0.1,0.4,1.1,-0.8,0,0,1.8,4.2,0.42,1.1,2.8,0.391,0.3,0.4,0.7
Romeo Langford,SAS,46,16.3,4.7,0.4,0.7,1.7,2.3,0.5,0.3,0.3,1.0,0.1,0,0,1.8,4.1,0.434,0.6,1.8,0.341,0.5,0.8,0.553
Royce O'Neale,UTA,75,31.3,7.5,2.5,0.8,4.0,4.9,1.1,0.4,1.0,2.4,3.2,3,0,2.7,5.8,0.463,1.6,4.0,0.393,0.6,0.7,0.796
Rudy Gay,UTA,54,18.9,8.1,1.0,1.0,3.4,4.4,0.5,0.3,0.8,1.7,2.9,0,0,2.9,6.9,0.414,1.3,3.7,0.35,1.1,1.4,0.779
Rudy Gobert,UTA,64,32.2,15.5,1.1,3.7,11.1,14.7,0.7,2.1,1.8,2.7,6.2,51,0,5.5,7.7,0.713,0.0,0.1,0.0,4.5,6.5,0.69
Rui Hachimura,WAS,40,22.1,10.8,1.1,0.6,3.3,3.8,0.6,0.2,0.8,1.3,-2.8,0,0,4.3,8.7,0.489,1.3,2.9,0.447,1.1,1.5,0.7
Russell Westbrook,LAL,78,34.3,18.5,7.1,1.4,6.0,7.4,1.0,0.3,3.8,3.0,-2.7,28,10,7.0,15.8,0.444,1.0,3.4,0.298,3.4,5.1,0.667
Ryan Arcidiacono,NYK,8,5.0,1.4,0.1,0.0,0.5,0.5,0.0,0.0,0.1,0.0,0.6,0,0,0.5,0.8,0.667,0.4,0.5,0.75,0.0,0.0,0.0
Saben Lee,DET,36,15.9,5.5,2.8,0.4,1.9,2.4,1.0,0.3,0.8,1.1,-1.4,1,0,1.9,4.8,0.393,0.4,1.7,0.233,1.3,1.6,0.797
Saddiq Bey,DET,80,33.2,16.2,2.9,1.3,4.1,5.5,0.9,0.2,1.2,1.6,-6.0,6,0,5.5,13.9,0.397,2.6,7.5,0.35,2.6,3.1,0.827
Sam Dekker,TOR,1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hauser,BOS,24,5.4,2.0,0.3,0.2,0.8,1.0,0.0,0.1,0.1,0.3,-0.1,0,0,0.7,1.7,0.415,0.6,1.5,0.405,0.0,0.0,0.0
Sam Merrill,MEM,6,9.6,4.2,0.7,0.2,1.0,1.2,0.0,0.0,0.3,0.5,-1.5,0,0,1.3,4.0,0.333,1.2,3.8,0.304,0.3,0.7,0.5
Sandro Mamukelashvili,MIL,39,9.2,3.2,0.5,0.8,0.9,1.8,0.2,0.2,0.3,0.7,-3.3,0,0,1.2,2.5,0.479,0.5,1.2,0.426,0.3,0.4,0.75
Santi Aldama,MEM,30,10.6,3.5,0.5,0.8,1.6,2.4,0.1,0.3,0.4,1.1,0.8,1,0,1.4,3.6,0.394,0.1,1.4,0.098,0.5,0.8,0.583
Scottie Barnes,TOR,71,35.5,15.5,3.5,2.7,4.9,7.6,1.1,0.8,1.8,2.6,1.0,12,0,6.2,12.7,0.491,0.8,2.6,0.301,2.2,3.0,0.732
Scottie Lewis,CHA,2,3.3,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5
Scotty Hopson,OKC,1,17.7,4.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,-6.0,0,0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0
Sekou Doumbouya,LAL,2,8.2,7.0,0.0,1.0,2.0,3.0,1.5,1.0,1.0,0.5,12.0,0,0,2.5,4.0,0.625,0.5,1.0,0.5,1.5,2.0,0.75
Semi Ojeleye,LAC,30,13.5,3.3,0.3,0.9,1.6,2.5,0.2,0.2,0.3,1.0,-4.8,0,0,1.0,3.3,0.303,0.5,1.7,0.3,0.8,1.0,0.793
Serge Ibaka,MIL,53,16.3,6.7,0.9,1.1,3.5,4.6,0.2,0.6,0.8,1.9,-1.0,3,0,2.7,5.5,0.495,0.7,1.8,0.378,0.6,0.8,0.727
Seth Curry,BKN,63,33.4,15.0,3.6,0.3,2.8,3.1,0.8,0.2,1.7,2.3,3.1,1,0,5.6,11.6,0.486,2.5,5.8,0.424,1.3,1.5,0.872
Shai Gilgeous-Alexander,OKC,56,34.7,24.5,5.9,0.7,4.3,5.0,1.3,0.8,2.8,2.5,-4.7,6,1,8.5,18.8,0.453,1.6,5.3,0.3,5.9,7.2,0.81
Shake Milton,PHI,52,21.3,7.8,2.4,0.5,2.1,2.6,0.5,0.3,0.8,1.8,-0.8,0,0,3.0,7.2,0.421,0.8,2.4,0.312,1.0,1.3,0.818
Shaq Buchanan,MEM,2,4.9,1.0,1.0,0.5,0.5,1.0,0.5,0.0,1.0,0.5,-1.0,0,0,0.5,2.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0
Shaquille Harrison,BKN,2,11.3,2.0,1.5,0.5,1.5,2.0,0.5,0.5,1.0,1.5,-2.0,0,0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0
Sharife Cooper,ATL,12,3.1,0.6,0.4,0.0,0.4,0.4,0.0,0.0,0.4,0.1,-2.8,0,0,0.3,1.2,0.214,0.1,0.5,0.167,0.0,0.0,0.0
Skylar Mays,ATL,27,8.1,3.0,0.6,0.2,0.7,0.9,0.3,0.0,0.4,0.3,-1.8,1,0,1.2,2.4,0.5,0.3,0.9,0.32,0.3,0.3,0.889
Solomon Hill,ATL,13,10.7,0.6,0.9,0.5,1.3,1.8,0.3,0.2,0.1,1.2,3.2,0,0,0.2,1.5,0.15,0.2,1.0,0.154,0.0,0.0,0.0
Spencer Dinwiddie,DAL,65,29.9,13.8,5.2,0.7,3.5,4.2,0.6,0.2,1.6,2.3,-0.9,7,1,4.6,11.1,0.414,1.6,5.0,0.332,3.0,3.8,0.774
Stanley Johnson,LAL,45,21.8,6.1,1.7,0.7,2.3,3.0,0.9,0.3,0.6,2.3,-1.1,0,0,2.3,4.9,0.466,0.7,2.0,0.326,0.9,1.2,0.75
Stephen Curry,GSW,64,34.5,25.5,6.3,0.5,4.7,5.2,1.3,0.4,3.2,2.0,8.0,12,2,8.4,19.1,0.437,4.5,11.7,0.38,4.3,4.7,0.923
Sterling Brown,DAL,48,12.8,3.2,0.7,0.5,2.5,3.0,0.3,0.1,0.5,1.1,0.6,2,0,1.2,3.1,0.376,0.6,1.9,0.303,0.3,0.3,0.933
Steven Adams,MEM,74,26.4,7.1,3.3,4.6,5.4,10.0,0.9,0.8,1.5,2.0,4.8,14,0,2.8,5.1,0.545,0.0,0.0,0.0,1.5,2.7,0.548
Svi Mykhailiuk,TOR,55,12.9,4.5,0.8,0.4,1.3,1.7,0.5,0.1,0.6,0.9,-1.3,0,0,1.6,4.1,0.39,0.7,2.3,0.302,0.6,0.7,0.865
T.J. McConnell,IND,25,23.8,8.1,4.8,0.8,2.6,3.4,1.0,0.4,1.1,1.8,-2.4,1,0,3.6,7.4,0.492,0.3,1.0,0.269,0.6,0.7,0.824
Tacko Fall,CLE,11,5.3,1.1,0.2,0.6,1.5,2.1,0.0,0.5,0.3,0.3,0.5,0,0,0.5,1.1,0.417,0.0,0.0,0.0,0.2,0.6,0.286
Taj Gibson,NYK,50,18.1,4.3,0.6,1.7,2.7,4.4,0.4,0.8,0.5,2.7,1.1,0,0,1.6,3.1,0.522,0.3,0.7,0.405,0.8,1.0,0.792
Talen Horton-Tucker,LAL,57,25.0,9.3,2.6,0.6,2.6,3.2,0.9,0.5,1.4,2.5,-1.8,1,0,3.5,8.5,0.416,0.8,3.0,0.272,1.4,1.8,0.781
Taurean Prince,MIN,68,17.2,7.4,1.0,0.4,2.2,2.5,0.7,0.3,0.8,1.6,0.1,0,0,2.6,5.7,0.457,1.3,3.3,0.381,0.9,1.2,0.756
Terance Mann,LAC,79,28.8,10.8,2.6,1.3,4.0,5.3,0.7,0.2,1.1,2.2,0.5,6,0,4.2,8.6,0.485,0.9,2.6,0.365,1.6,2.1,0.779
Terence Davis,SAC,30,17.9,10.4,1.3,0.4,2.8,3.1,0.8,0.4,1.1,2.3,2.0,0,0,3.8,8.9,0.423,1.6,5.0,0.329,1.2,1.5,0.818
Terrence Ross,ORL,63,23.0,10.0,1.8,0.3,2.2,2.6,0.4,0.2,1.2,1.1,-5.5,0,0,3.5,8.8,0.397,1.2,4.2,0.292,1.8,2.1,0.862
Terry Rozier,CHA,71,33.8,19.3,4.4,0.8,3.5,4.3,1.3,0.4,1.3,1.6,0.7,3,1,7.1,16.0,0.441,3.0,8.1,0.374,2.1,2.5,0.852
Terry Taylor,IND,31,21.3,9.6,1.2,2.8,2.4,5.2,0.4,0.3,0.7,1.8,-3.1,2,0,4.1,6.5,0.626,0.4,1.1,0.343,1.0,1.5,0.696
Thaddeus Young,TOR,49,15.7,6.1,1.9,1.6,2.4,4.0,1.0,0.3,1.0,1.4,-0.8,0,0,2.7,5.1,0.522,0.3,0.8,0.375,0.4,0.9,0.444
Thanasis Antetokounmpo,MIL,46,9.3,3.0,0.4,0.9,1.2,2.1,0.3,0.2,0.5,1.4,-2.4,0,0,1.3,2.4,0.523,0.0,0.2,0.091,0.5,0.8,0.583
Theo Maledon,OKC,51,17.8,7.1,2.2,0.4,2.2,2.6,0.6,0.2,1.3,1.3,-3.9,1,0,2.3,6.2,0.375,0.9,2.9,0.293,1.5,2.0,0.79
Theo Pinson,DAL,17,7.2,1.8,0.8,0.1,1.1,1.1,0.2,0.1,0.1,0.5,-2.9,0,0,0.5,1.9,0.281,0.4,1.5,0.24,0.4,0.4,1.0
Thomas Bryant,WAS,26,15.9,7.7,0.9,1.0,2.8,3.8,0.2,0.7,0.7,1.6,-2.9,0,0,3.0,5.5,0.535,0.5,1.5,0.3,1.3,1.5,0.875
Tim Frazier,CLE,12,17.3,3.3,2.8,0.4,1.2,1.6,0.3,0.1,1.3,2.3,-6.7,0,0,1.2,3.8,0.311,0.5,1.4,0.353,0.4,0.8,0.556
Tim Hardaway Jr.,DAL,42,29.6,14.2,2.2,0.3,3.4,3.7,0.9,0.1,0.8,1.8,0.9,0,0,5.0,12.6,0.394,2.4,7.2,0.336,1.9,2.5,0.757
Timothe Luwawu-Cabarrot,ATL,50,13.3,4.5,0.8,0.3,1.3,1.6,0.4,0.1,0.4,1.5,-1.0,0,0,1.5,3.7,0.404,0.9,2.4,0.37,0.7,0.8,0.854
Tobias Harris,PHI,70,35.0,17.5,3.5,1.1,5.8,6.9,0.6,0.6,1.6,2.2,2.2,9,1,6.8,14.2,0.483,1.4,3.8,0.367,2.4,2.9,0.841
Tomas Satoransky,WAS,53,16.3,3.6,3.2,0.5,1.8,2.2,0.5,0.1,0.8,1.3,-2.9,1,0,1.3,3.4,0.374,0.2,0.9,0.2,0.8,1.0,0.796
Tony Bradley,CHI,54,9.9,2.8,0.5,1.1,2.2,3.3,0.2,0.6,0.6,1.1,1.2,0,0,1.2,2.1,0.583,0.0,0.0,0.0,0.3,0.5,0.667
Tony Snell,NOP,50,15.6,3.3,0.5,0.3,1.7,2.0,0.3,0.2,0.4,1.3,-2.2,0,0,1.2,3.1,0.394,0.8,2.4,0.353,0.1,0.1,1.0
Torrey Craig,PHX,76,20.5,6.6,1.1,1.1,2.9,4.0,0.6,0.4,0.9,2.0,-2.2,3,0,2.6,5.6,0.455,1.0,2.9,0.329,0.5,0.7,0.75
Trae Young,ATL,74,34.9,28.3,9.7,0.6,3.1,3.7,1.0,0.1,3.9,1.7,2.2,41,0,9.3,20.3,0.459,3.1,8.0,0.382,6.6,7.3,0.902
Trayvon Palmer,DET,1,16.8,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,-12.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tre Jones,SAS,66,16.1,5.6,3.2,0.4,1.8,2.2,0.6,0.1,0.6,1.1,0.0,3,0,2.3,4.7,0.492,0.1,0.7,0.159,1.0,1.2,0.788
Tre Mann,OKC,60,22.8,10.4,1.5,0.4,2.4,2.9,0.8,0.2,1.2,1.7,-4.6,0,0,3.9,9.8,0.393,1.6,4.5,0.36,1.1,1.4,0.793
Tremont Waters,WAS,3,16.8,3.3,2.3,0.0,1.3,1.3,1.7,0.0,1.3,1.3,-6.3,0,0,1.3,4.7,0.286,0.7,3.0,0.222,0.0,0.0,0.0
Trendon Watford,POR,48,18.1,7.6,1.7,1.2,3.0,4.1,0.5,0.6,0.9,2.4,-7.3,2,0,3.0,5.6,0.532,0.2,0.8,0.237,1.5,2.0,0.755
Trent Forrest,UTA,60,12.8,3.3,1.8,0.4,1.3,1.7,0.5,0.1,0.8,0.7,1.3,0,0,1.3,2.6,0.49,0.1,0.5,0.185,0.6,0.8,0.792
Trevelin Queen,HOU,10,7.4,4.3,0.4,0.7,0.9,1.6,0.5,0.1,0.7,0.6,0.8,0,0,1.5,3.3,0.455,0.9,2.4,0.375,0.4,0.4,1.0
Trevon Scott,CLE,2,5.7,3.0,0.0,0.5,0.5,1.0,0.5,0.5,0.0,1.0,2.0,0,0,1.5,3.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
Trevor Ariza,LAL,24,19.3,4.0,1.1,0.4,3.0,3.4,0.5,0.3,0.5,0.8,-2.3,0,0,1.4,4.1,0.333,0.8,3.1,0.27,0.4,0.8,0.556
Trey Burke,DAL,40,10.5,5.2,1.3,0.1,0.7,0.8,0.3,0.0,0.7,0.9,-0.5,0,0,2.0,5.2,0.393,0.6,2.0,0.313,0.5,0.6,0.87
Trey Lyles,SAC,73,20.5,10.4,1.2,1.2,3.8,5.0,0.4,0.4,1.0,1.7,-3.1,3,0,3.5,7.4,0.465,0.9,2.8,0.322,2.6,3.3,0.807
Trey Murphy III,NOP,59,13.6,5.1,0.6,0.7,1.6,2.3,0.3,0.1,0.2,1.0,-0.1,0,0,1.7,4.2,0.394,1.1,2.9,0.38,0.6,0.7,0.864
Tristan Thompson,CHI,55,15.8,5.9,0.6,2.1,3.0,5.1,0.4,0.4,0.8,1.7,-1.3,1,0,2.4,4.7,0.523,0.0,0.1,0.333,1.1,2.0,0.523
Troy Brown Jr.,CHI,64,15.6,4.1,0.9,0.6,2.3,2.9,0.5,0.1,0.4,1.0,-1.1,0,0,1.5,3.8,0.413,0.7,1.9,0.35,0.3,0.4,0.76
Ty Jerome,OKC,48,16.7,7.1,2.3,0.4,1.2,1.6,0.6,0.1,0.8,1.5,-0.1,0,0,2.6,6.8,0.378,1.1,3.9,0.29,0.8,1.0,0.809
Tyler Cook,CHI,19,10.3,3.4,0.2,0.8,1.9,2.7,0.2,0.2,0.4,1.4,-1.6,0,0,1.2,1.9,0.611,0.0,0.0,0.0,1.1,1.6,0.645
Tyler Hall,NYK,1,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Herro,MIA,65,32.6,20.8,3.9,0.5,4.5,5.0,0.7,0.1,2.7,1.4,3.6,3,0,7.6,17.1,0.446,2.7,6.7,0.398,2.9,3.3,0.866
Tyler Johnson,SAS,6,15.2,2.8,1.2,0.5,1.5,2.0,0.5,0.5,0.3,1.2,-1.0,0,0,1.0,3.3,0.3,0.8,2.2,0.385,0.0,0.0,0.0
Tyrell Terry,MEM,2,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,0,0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyrese Haliburton,IND,75,34.9,15.3,8.1,0.8,3.3,4.1,1.7,0.6,2.6,1.6,-4.2,24,0,5.5,11.8,0.47,2.1,5.1,0.415,2.1,2.4,0.842
Tyrese Maxey,PHI,72,35.5,17.3,4.3,0.4,2.9,3.3,0.7,0.4,1.2,2.1,2.7,1,0,6.4,13.3,0.482,1.8,4.1,0.429,2.8,3.2,0.862
Tyrone Wallace,NOP,6,12.5,2.8,0.2,0.0,1.3,1.3,0.5,0.2,0.3,1.2,-3.0,0,0,1.2,3.3,0.35,0.3,1.3,0.25,0.2,0.8,0.2
Tyus Jones,MEM,71,21.3,8.8,4.4,0.2,2.2,2.5,0.9,0.0,0.6,0.5,3.4,2,0,3.5,7.6,0.455,1.1,2.8,0.393,0.8,0.9,0.818
Udoka Azubuike,UTA,17,11.5,4.7,0.0,1.1,3.1,4.2,0.1,0.6,0.7,1.5,0.2,1,0,2.2,2.9,0.755,0.0,0.0,0.0,0.4,0.6,0.545
Udonis Haslem,MIA,12,5.2,2.5,0.3,0.3,1.3,1.6,0.1,0.1,0.3,0.9,0.7,0,0,1.1,2.2,0.5,0.1,0.3,0.333,0.3,0.3,1.0
Usman Garuba,HOU,22,9.6,2.0,0.6,0.9,2.4,3.3,0.4,0.5,0.3,1.0,1.5,0,0,0.8,1.8,0.425,0.2,0.8,0.235,0.2,0.3,0.714
Vernon Carey Jr.,WAS,5,3.6,1.6,0.0,0.6,0.4,1.0,0.2,0.0,0.2,0.2,-4.4,0,0,0.6,1.2,0.5,0.0,0.0,0.0,0.4,0.6,0.667
Victor Oladipo,MIA,7,19.7,8.4,3.0,0.3,1.6,1.9,0.4,0.1,1.7,1.6,-0.1,0,0,3.1,7.3,0.431,1.4,3.6,0.4,0.7,1.1,0.625
Vit Krejci,OKC,28,21.7,5.9,1.9,0.5,2.6,3.2,0.6,0.3,0.9,2.0,-3.8,1,0,2.1,5.1,0.413,1.1,3.1,0.345,0.6,0.7,0.85
Vlatko Cancar,DEN,14,10.9,4.3,0.9,0.4,1.2,1.6,0.1,0.2,0.6,0.9,1.0,0,0,1.6,2.8,0.564,0.5,0.9,0.583,0.6,0.9,0.75
Wayne Ellington,LAL,40,18.5,6.3,0.7,0.3,1.5,1.7,0.6,0.1,0.4,1.0,-1.3,0,0,2.2,5.3,0.408,1.9,4.8,0.393,0.1,0.1,0.8
Wayne Selden,NYK,3,6.4,1.7,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.3,-4.3,0,0,0.3,1.3,0.25,0.3,0.7,0.5,0.7,1.3,0.5
Wendell Carter Jr.,ORL,62,29.9,15.0,2.8,2.2,8.2,10.5,0.6,0.7,1.9,2.7,-2.2,33,0,5.8,11.0,0.525,1.1,3.5,0.327,2.3,3.3,0.691
Wenyen Gabriel,LAL,23,12.0,4.6,0.4,1.4,2.0,3.3,0.2,0.3,0.5,2.4,0.7,0,0,1.7,3.8,0.46,0.3,1.1,0.269,0.8,1.3,0.581
Wes Iwundu,ATL,3,27.4,7.3,0.0,1.0,3.3,4.3,0.3,0.0,0.3,2.7,0.0,0,0,2.7,6.0,0.444,1.0,1.7,0.6,1.0,1.3,0.75
Wesley Matthews,MIL,47,20.3,5.0,0.7,0.6,1.3,1.9,0.5,0.1,0.4,1.7,2.3,0,0,1.7,4.5,0.386,1.1,3.2,0.342,0.4,0.5,0.76
Will Barton,DEN,70,32.1,14.7,3.9,0.6,4.2,4.8,0.8,0.4,1.8,1.6,1.3,1,0,5.5,12.6,0.437,2.2,6.1,0.366,1.4,1.8,0.797
Willie Cauley-Stein,PHI,20,9.1,1.7,0.5,0.7,1.4,2.0,0.3,0.2,0.4,1.0,1.2,0,0,0.8,1.8,0.457,0.1,0.1,0.5,0.1,0.1,0.5
Willy Hernangomez,NOP,47,16.2,8.8,1.2,2.8,3.7,6.5,0.4,0.4,1.0,1.9,-0.9,7,0,3.3,6.3,0.529,0.1,0.2,0.364,2.0,2.7,0.76
Xavier Moon,LAC,9,12.4,4.6,1.9,0.2,1.0,1.2,0.7,0.2,0.4,0.9,-2.8,0,0,1.9,4.4,0.425,0.4,1.2,0.364,0.3,0.6,0.6
Xavier Sneed,UTA,8,4.4,0.6,0.0,0.1,0.4,0.5,0.0,0.0,0.0,0.3,-1.3,0,0,0.3,1.3,0.2,0.1,1.0,0.125,0.0,0.0,0.0
Xavier Tillman,MEM,50,13.0,4.8,1.1,1.3,1.9,3.1,0.9,0.3,0.6,1.2,-0.1,0,0,1.9,4.0,0.463,0.2,0.9,0.209,0.9,1.3,0.657
Yuta Watanabe,TOR,36,11.7,4.3,0.5,0.5,1.9,2.4,0.2,0.4,0.5,1.1,-1.4,2,0,1.5,3.6,0.412,0.8,2.1,0.36,0.6,1.0,0.568
Yves Pons,MEM,9,3.6,0.6,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.2,-1.1,0,0,0.2,0.6,0.4,0.1,0.2,0.5,0.0,0.2,0.0
Zach Collins,SAS,25,18.0,7.6,2.2,1.8,3.6,5.5,0.4,0.7,1.6,2.4,1.4,1,0,2.7,5.6,0.479,0.5,1.5,0.324,1.8,2.2,0.786
Zach LaVine,CHI,66,34.8,24.4,4.5,0.3,4.3,4.6,0.6,0.3,2.6,1.8,-0.1,0,0,8.4,17.7,0.475,2.8,7.1,0.389,4.8,5.6,0.852
Zavier Simpson,OKC,2,41.1,7.0,8.0,0.5,2.5,3.0,2.0,1.0,3.0,3.0,-12.0,0,0,3.5,11.0,0.318,0.0,1.0,0.0,0.0,0.0,0.0
Zeke Nnaji,DEN,40,16.8,6.6,0.4,1.4,2.3,3.6,0.4,0.3,0.6,1.9,-0.8,0,0,2.4,4.4,0.537,0.9,1.9,0.487,1.0,1.6,0.613
Ziaire Williams,MEM,59,21.7,7.7,1.0,0.4,1.6,2.0,0.6,0.2,0.7,1.8,2.4,0,0,2.9,6.5,0.451,1.1,3.7,0.301,0.6,0.8,0.792
Zylan Cheatham,UTA,1,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,0,0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
